table,lev,lev_name,time,kuski
9,36,"Fruit in the Den","1:04,57",Jokke
9,37,Jaws,"1:01,83",DMC
9,38,Curvaceous,"33,89",Stene
9,39,Haircut,"45,41",Garion
9,40,"Double Trouble","1:30,85",loX
9,41,Framework,"40,88",KingKong
9,42,Enduro,"51,59",Mandel
9,43,"He He","1:02,59",Karlis
9,44,Freefall,"33,71",Joni
9,45,Sink,"33,85",zyntifox
9,46,Bowling,"1:10,11",zeth
9,47,Enigma,"26,97",Rainman
9,48,Downhill,"54,77",Joni
9,49,"What the Heck","43,89",KingKong
9,50,"Expert System","1:01,13",loX
9,51,"Tricks Abound","56,53",Fulgore
9,52,"Hang Tight","26,80",zyntifox
9,53,Hooked,"18,34",oizo!
9,54,"Apple Harvest","1:56,66",ramone
10,1,"Warm Up","14,37",Stikky
10,2,"Flat Track","16,87",mr
10,3,"Twin Peaks","20,01",DeG
10,4,"Over and Under","31,68",Champi0N
10,5,"Uphill Battle","22,31",Ufo
10,6,"Long Haul","33,41",Markku
10,7,"Hi Flyer","35,56",Champi0N
10,8,Tag,"22,55",SoGe
10,9,"Tunnel Terror","1:04,52",Dr_Luni
10,10,"The Steppes","13,66",mr
10,11,"Gravity Ride","26,52",Joni
10,12,"Islands in the Sky","22,84",Gazoline
10,13,"Hill Legend","17,64",TuA
10,14,Loop-de-Loop,"18,35",DeG
10,15,"Serpents Tale","1:07,53",zeth
10,16,"New Wave","1:34,20",Champi0N
10,17,Labyrinth,"58,87",YeeS
10,18,Spiral,"46,79",ZanguiZ
10,19,Turnaround,"40,20",Champi0N
10,20,"Upside Down","1:06,93",Joni
10,21,Hangman,"15,15",elg
10,22,Slalom,"42,86",TuA
10,23,"Quick Round","48,23",Jokke
10,24,"Ramp Frenzy","1:00,02",Jokke
10,25,Precarious,"25,11","AnTTiM [HfK]"
10,26,Circuitous,"27,65",Champi0N
10,27,"Shelf Life","38,00",Champi0N
10,28,"Bounce Back","54,84",Petri
10,29,Headbanger,"49,82",zeth
10,30,Pipe,"34,25",KingKong
10,31,"Animal Farm","1:28,81",KingKong
10,32,"Steep Corner","44,27",KingKong
10,33,Zig-Zag,"1:40,43",zeth
10,34,"Bumpy Journey","38,53",Garion
10,35,"Labyrinth Pro","2:38,45",loX
10,36,"Fruit in the Den","1:03,63",Champi0N
10,37,Jaws,"1:01,83",DMC
10,38,Curvaceous,"33,89",Stene
